👼,1,emocionado,0,0,9,0,76,0,0,0,15,0,0,0,0
☕️,0,alerta,0,24,25,0,5,26,20,0,0,0,0,0,0
💝,1,feliz,0,0,0,26,64,0,0,0,10,0,0,0,0
🎁,1,emocionado,0,0,10,0,76,0,0,0,14,0,0,0,0
🐶,1,emocionado,0,0,10,0,74,0,0,0,16,0,0,0,0
💰,1,alerta,0,20,30,0,6,25,19,0,0,0,0,0,0
☎️,0,alerta,0,30,20,0,5,20,25,0,0,0,0,0,0
🎂,1,emocionado,0,0,7,0,77,0,0,0,16,0,0,0,0
😮,0,exaltado,0,0,12,23,14,0,41,0,10,0,0,0,0
🏃,0,emocionado,0,0,6,0,78,0,0,0,16,0,0,0,0
😵,-1,exaltado,0,0,13,22,11,0,44,0,10,0,0,0,0
😲,0,exaltado,0,0,9,25,16,0,40,0,10,0,0,0,0
✖️,-1,alerta,0,19,31,0,4,26,20,0,0,0,0,0,0
😯,-1,deprimido,0,0,0,0,0,0,0,9,0,91,0,0,0
🐱,1,feliz,0,0,0,17,63,0,0,0,20,0,0,0,0
👆,0,emocionado,0,0,12,0,73,0,0,0,15,0,0,0,0
👫,0,satisfecho,35,0,0,0,0,0,0,0,25,0,40,0,0
🏆,1,emocionado,0,0,7,0,65,0,15,0,13,0,0,0,0
🌝,1,feliz,19,0,0,0,0,0,0,0,61,0,20,0,0
💸,1,feliz,0,0,0,0,35,0,0,0,59,0,6,0,0
💍,1,feliz,0,0,0,24,66,0,0,0,10,0,0,0,0
😿,-1,deprimido,0,0,0,0,0,0,0,10,0,90,0,0,0
